date,tmax,tmin,precip_mm
2025-08-10,32.3,26.6,0.8
2025-08-10,32.3,26.6,0.8
2025-08-11,31.7,25.9,0.5
2025-08-12,32.5,25.7,3.1
2025-08-13,28.0,26.1,122.3
2025-08-14,34.2,26.7,2.8
2025-08-15,31.8,25.1,0.3
2025-08-16,33.4,25.3,0.7
2025-08-17,32.1,26.0,5.8
2025-08-18,32.9,24.6,11.6
2025-08-19,31.9,24.9,2.4
2025-08-20,31.4,25.6,5.4
2025-08-21,32.3,24.3,0.6
2025-08-22,33.4,25.0,0.2
2025-08-23,33.7,25.2,0.1
2025-08-24,33.6,25.6,0.0
2025-08-25,33.1,25.0,0.8
2025-08-26,32.3,25.8,1.9
2025-08-27,32.3,24.4,2.8
2025-08-28,32.6,24.8,0.0
2025-08-29,34.0,25.6,0.8
2025-08-30,33.2,24.9,0.5
2025-08-31,32.6,25.2,0.0
2025-09-01,32.4,25.2,0.4
2025-09-02,32.3,24.6,2.9
2025-09-03,31.7,25.9,1.6
2025-09-04,31.5,25.5,1.8
2025-09-05,33.7,24.2,0.5
2025-09-06,31.7,24.8,2.1
2025-09-07,31.7,25.7,0.0
2025-09-08,33.0,24.8,0.0
2025-09-09,32.2,24.7,0.0
2025-09-10,32.1,25.4,4.7
2025-09-11,33.4,24.5,0.3
2025-09-12,33.3,24.4,3.3
2025-09-13,32.8,24.4,3.9
2025-09-14,33.4,24.2,0.4
2025-09-15,33.7,24.0,1.2
2025-09-16,32.3,24.4,1.2
2025-09-17,31.6,26.1,4.9
2025-09-18,30.4,26.1,2.7
2025-09-19,32.7,25.1,7.5
2025-09-20,32.0,24.9,5.8
2025-09-21,33.2,24.5,2.6
2025-09-22,32.0,25.3,0.0
2025-09-23,31.2,26.5,1.0
2025-09-24,31.2,26.5,0.0
2025-09-25,32.3,25.3,0.4
2025-09-26,32.5,25.6,1.4
2025-09-27,32.9,25.2,0.0
2025-09-28,32.7,25.1,0.2
2025-09-29,32.8,25.4,0.4
2025-09-30,32.5,25.4,0.2
2025-10-01,32.3,24.5,0.0
2025-10-02,33.2,24.4,0.0
2025-10-03,33.4,24.2,0.6
2025-10-04,32.7,25.7,0.2
2025-10-05,33.3,24.9,1.6
2025-10-06,32.7,24.0,0.3
2025-10-07,32.8,24.4,0.0
2025-10-08,33.2,23.9,0.0
2025-10-09,33.3,24.2,0.0
2025-10-10,32.7,23.6,0.0
2025-10-11,32.9,24.5,1.7
2025-10-12,32.3,25.0,0.6
2025-10-13,32.9,25.3,2.9
2025-10-14,32.6,24.7,0.5
2025-10-15,32.0,25.1,0.0
2025-10-16,33.8,24.1,0.1
